regulator,Molecule.Type,p.value.of.overlap,p_adj,overlap_genes,n_overlap
IFNL3,other,7.25e-9,1.06e-7,"ACE2,IFIH1,MX1,RIGI,STAT1,TLR2",NA
IL18,cytokine,3.79e-8,4.96e-7,"ATF3,CCL2,CCL5,CD40,CXCL10,CXCL11,CXCL9,IDO1,IL12RB2,IL32,IRF1,SAMHD1,SLC2A3",NA
THPO,cytokine,4.86e-8,6.25e-7,"IRF1,ISG15,JAK2,KLF4,RIGI,RSAD2,STAT1,STAT2,TAP1,USP18",NA
TNFSF10,cytokine,3.68e-7,4.16e-6,"CX3CL1,DPYD,HLA-A,HLA-C,HLA-F,IFI27,IFITM1,ISG15,SP100,STAT1",NA
IFNL2,other,3.84e-7,4.32e-6,"ACE2,CXCL9,IRF7,MX1,RSAD2",NA
IL33,cytokine,5.09e-6,4.76e-5,"CASP1,CCL2,CCL5,CD40,CREM,CX3CL1,CXCL10,CXCL11,IL15,IL32,IRF7,JAK2,KLF4,RIPK2,TLR2",NA
MIF,cytokine,5.6e-6,5.19e-5,"CCL2,IL15,IL15RA,IL22RA1,IRF7,ISG15,OAS3,TRIM22,USP18",NA
CSF3,cytokine,6.3e-6,5.79e-5,"CCL2,CCL5,ERAP2,GABBR1,HLA-DPA1,HLA-DRA,HLA-DRB1,LY96,PDCD1LG2,RAB27A,TLR2",NA
CNTF,cytokine,1.49e-5,1.29e-4,"ATF3,CCL2,CCL5,IRF1,KLF4,SLC15A3,SP100,STAT1,TAP1,TLR2",NA
IL32,cytokine,1.76e-5,1.5e-4,"CASP1,CCL2,IDO1,IL32,MX1,SAMHD1",NA
TSLP,cytokine,3.66e-5,2.9e-4,"CD40,CXCL9,IL32,JAK2,KLF4,MX1",NA
CCL3,cytokine,4.95e-5,3.81e-4,"APOBEC3G,CCL2,CXCL9,STAT1",NA
CCL2,cytokine,5.71e-5,4.35e-4,"CCL2,CCL5,CD40,CXCL10,IL15,IL32,KLF4,STAT1",NA
HMGB1,transcription regulator,7.8e-5,5.72e-4,"AIM2,CCL2,CD40,HLA-DRB1,HLA-G,MX1,TLR2",NA
TNFSF14,cytokine,1.37e-4,9.36e-4,"CCL2,CCL5,CD40,CXCL11,CXCL9",NA
TNFSF11,cytokine,1.66e-4,0.00111,"ACP5,CCL2,CCL5,CD40,IL15,IL15RA,MARCKSL1,STAT1,TLR2,USP18",NA
IL12A,cytokine,2.66e-4,0.00167,"CCL5,IL12RB2,STAT1,STAT2",NA
GRN,growth factor,3.94e-4,0.00234,"CCL2,CD74,CLU,CTSS,HLA-DRA,HLA-DRB1,PDGFRA,TENT5A",NA
CCL5,cytokine,5.91e-4,0.00326,"CCL2,CCL5,CD40,CYP1B1,STAT1",NA
CCL11,cytokine,6.06e-4,0.00332,"CCL2,CCL8,CXCL11,CXCL9",NA
IL5,cytokine,7.67e-4,0.00396,"ACP5,CASP4,CCL2,CD40,CEACAM1,CIITA,CLEC2B,IFI30,IRF7",NA
CXCL8,cytokine,8.4e-4,0.00431,"CCL2,CCL5,CD74,IL32,KLF4,SLC2A3",NA
BMP10,growth factor,0.00115,0.00561,"CCL2,CD74,FAP,HLA-A,RSAD2",NA
IL12B,cytokine,0.00152,0.00704,"CCL2,CCL5,STAT1,STAT2",NA
IL11,cytokine,0.00158,0.00727,"CCL2,CCL5,CD40,IL15,IRF1",NA
TNFSF13B,cytokine,0.00161,0.00741,"CCL2,CD40,CD74,CTSS,HLA-DMB,IL15",NA
IL3,cytokine,0.00171,0.00779,"CCL2,CCL5,CD40,CREM,CXCL9,HLA-A,LAMP3,LY75,SLC2A3,TLR2",NA
CXCL12,cytokine,0.00259,0.0109,"ACP5,CCL2,CCL5,CX3CL1,CXCL10,IFI27,JAK2",NA
LTA,cytokine,0.00298,0.0121,"CCL2,CD40,JAK2,PDCD1LG2",NA
WNT5A,growth factor,0.00322,0.013,"CCL2,CD40,CXCL10,IL15,IRF1,STAT1,TLR3",NA
TNFRSF11B,transmembrane receptor,0.00349,0.0139,"CCL2,GSDMD,STAT1",NA
SCG2,cytokine,0.00354,0.014,"TAP1,TAP2",NA
IL37,cytokine,0.00376,0.0148,"CD40,CXCL10,CXCL9",NA
ADIPOQ,other,0.0041,0.016,"ACSL5,CCL2,CCL5,CXCL10,CXCL11,CXCL9,CYP1B1,SLC2A3",NA
FLT3LG,cytokine,0.00496,0.0185,"CCL5,CD40,IL15RA,SCNN1A",NA
CXCL16,cytokine,0.00496,0.0185,"CCL2,CCL5",NA
GPR15LG,cytokine,0.00534,0.0195,"CIITA,IFIT2,IFIT3",NA
VEGFA,growth factor,0.00605,0.0217,"CCL2,CD40,CEACAM1,CTSS,CXCL10,ERAP1,FAP,GBP1",NA
AIMP1,cytokine,0.00661,0.0231,"CCL2,CCL5",NA
EDN1,cytokine,0.00901,0.0288,"CCL2,CIITA,EDNRA,HLA-DRA,MARCKSL1,NRG1",NA
CXCL1,cytokine,0.0116,0.0347,"CCL2,RIPK2",NA
INHBA,growth factor,0.012,0.0358,"CCL2,HLA-G,IRF1,KLF4,NRG1,PLOD2",NA
WNT3A,cytokine,0.0125,0.0371,"CCL2,CCL5,CXCL9,KLF4,LBH,NRG1,PDGFRA,TMEM158",NA
LIF,cytokine,0.0135,0.0391,"ACSL5,CCL2,ERAP1,HLA-G,IRF1,NMI",NA
GH1,growth factor,0.0159,0.0435,"ATF3,CLU,IRF1,JAK2,UBA7",NA
IL36A,cytokine,0.0165,0.0435,"CD40,CXCL10",NA
IL36B,cytokine,0.0165,0.0435,"CD40,CXCL10",NA
