Source	Target	Type	Class	FDR_log
CD40LG	HLA-DQA1	Directed	cytokine	107.06803388527183
CD40LG	HLA-DQA2	Directed	cytokine	107.06803388527183
CD40LG	HLA-DRB4	Directed	cytokine	107.06803388527183
CD40LG	HSP90AA1	Directed	cytokine	107.06803388527183
CD40LG	ICAM1	Directed	cytokine	107.06803388527183
CD40LG	IDO1	Directed	cytokine	107.06803388527183
CD40LG	IDO2	Directed	cytokine	107.06803388527183
CD40LG	IFI44	Directed	cytokine	107.06803388527183
CD40LG	IFI6	Directed	cytokine	107.06803388527183
CD40LG	IFIT1	Directed	cytokine	107.06803388527183
CD40LG	IFIT2	Directed	cytokine	107.06803388527183
CD40LG	IFIT3	Directed	cytokine	107.06803388527183
CD40LG	IFITM1	Directed	cytokine	107.06803388527183
CD40LG	IFNG	Directed	cytokine	107.06803388527183
CD40LG	IGHG1	Directed	cytokine	107.06803388527183
CD40LG	IGHG3	Directed	cytokine	107.06803388527183
CD40LG	IL10	Directed	cytokine	107.06803388527183
CD40LG	IL10RA	Directed	cytokine	107.06803388527183
CD40LG	IL12A	Directed	cytokine	107.06803388527183
CD40LG	IL12B	Directed	cytokine	107.06803388527183
CD40LG	IL12RB1	Directed	cytokine	107.06803388527183
CD40LG	IL13RA1	Directed	cytokine	107.06803388527183
CD40LG	IL15	Directed	cytokine	107.06803388527183
CD40LG	IL1B	Directed	cytokine	107.06803388527183
CD40LG	IL2	Directed	cytokine	107.06803388527183
CD40LG	IL21R	Directed	cytokine	107.06803388527183
CD40LG	IL24	Directed	cytokine	107.06803388527183
CD40LG	IL27	Directed	cytokine	107.06803388527183
CD40LG	IL2RA	Directed	cytokine	107.06803388527183
CD40LG	IL2RB	Directed	cytokine	107.06803388527183
CD40LG	IL36A	Directed	cytokine	107.06803388527183
CD40LG	IL3RA	Directed	cytokine	107.06803388527183
CD40LG	IL4	Directed	cytokine	107.06803388527183
CD40LG	IL4R	Directed	cytokine	107.06803388527183
CD40LG	IL6	Directed	cytokine	107.06803388527183
CD40LG	IL7R	Directed	cytokine	107.06803388527183
CD40LG	INHBA	Directed	cytokine	107.06803388527183
CD40LG	IRF1	Directed	cytokine	107.06803388527183
CD40LG	IRF2	Directed	cytokine	107.06803388527183
CD40LG	IRF4	Directed	cytokine	107.06803388527183
CD40LG	ISG15	Directed	cytokine	107.06803388527183
CD40LG	ITGA4	Directed	cytokine	107.06803388527183
CD40LG	ITGAM	Directed	cytokine	107.06803388527183
CD40LG	ITGB2	Directed	cytokine	107.06803388527183
CD40LG	ITGB7	Directed	cytokine	107.06803388527183
CD40LG	JAK2	Directed	cytokine	107.06803388527183
CD40LG	JUNB	Directed	cytokine	107.06803388527183
CD40LG	KIF2A	Directed	cytokine	107.06803388527183
CD40LG	LAMP3	Directed	cytokine	107.06803388527183
CD40LG	LIG4	Directed	cytokine	107.06803388527183
CD40LG	LTA	Directed	cytokine	107.06803388527183
CD40LG	LTB	Directed	cytokine	107.06803388527183
CD40LG	LYL1	Directed	cytokine	107.06803388527183
CD40LG	MARCKS	Directed	cytokine	107.06803388527183
CD40LG	MARCKSL1	Directed	cytokine	107.06803388527183
CD40LG	MCL1	Directed	cytokine	107.06803388527183
CD40LG	MT1E	Directed	cytokine	107.06803388527183
CD40LG	MT1G	Directed	cytokine	107.06803388527183
CD40LG	MT2A	Directed	cytokine	107.06803388527183
CD40LG	MX1	Directed	cytokine	107.06803388527183
CD40LG	NAMPT	Directed	cytokine	107.06803388527183
CD40LG	NEFH	Directed	cytokine	107.06803388527183
CD40LG	NFKB1	Directed	cytokine	107.06803388527183
CD40LG	NFKB2	Directed	cytokine	107.06803388527183
CD40LG	NFKBIA	Directed	cytokine	107.06803388527183
CD40LG	NFKBIB	Directed	cytokine	107.06803388527183
CD40LG	NFKBIE	Directed	cytokine	107.06803388527183
CD40LG	NINJ1	Directed	cytokine	107.06803388527183
CD40LG	NOS2	Directed	cytokine	107.06803388527183
CD40LG	NR4A3	Directed	cytokine	107.06803388527183
CD40LG	PALM2AKAP2	Directed	cytokine	107.06803388527183
CD40LG	PIM1	Directed	cytokine	107.06803388527183
CD40LG	PLAU	Directed	cytokine	107.06803388527183
CD40LG	PLAUR	Directed	cytokine	107.06803388527183
CD40LG	PLEK	Directed	cytokine	107.06803388527183
CD40LG	PMAIP1	Directed	cytokine	107.06803388527183
CD40LG	PML	Directed	cytokine	107.06803388527183
CD40LG	PSMA2	Directed	cytokine	107.06803388527183
CD40LG	PSMB10	Directed	cytokine	107.06803388527183
CD40LG	PSMB8	Directed	cytokine	107.06803388527183
CD40LG	PSMB9	Directed	cytokine	107.06803388527183
CD40LG	PSME1	Directed	cytokine	107.06803388527183
CD40LG	PSME2	Directed	cytokine	107.06803388527183
CD40LG	PTGS2	Directed	cytokine	107.06803388527183
CD40LG	PTPN1	Directed	cytokine	107.06803388527183
CD40LG	PTPN7	Directed	cytokine	107.06803388527183
CD40LG	RASSF2	Directed	cytokine	107.06803388527183
CD40LG	RB1	Directed	cytokine	107.06803388527183
CD40LG	RELB	Directed	cytokine	107.06803388527183
CD40LG	RGS1	Directed	cytokine	107.06803388527183
CD40LG	RUNX3	Directed	cytokine	107.06803388527183
CD40LG	SAMSN1	Directed	cytokine	107.06803388527183
CD40LG	SELE	Directed	cytokine	107.06803388527183
CD40LG	SELL	Directed	cytokine	107.06803388527183
CD40LG	SELP	Directed	cytokine	107.06803388527183
CD40LG	SELPLG	Directed	cytokine	107.06803388527183
CD40LG	SEMA4D	Directed	cytokine	107.06803388527183
CD40LG	SERPINE1	Directed	cytokine	107.06803388527183
CD40LG	SLAMF1	Directed	cytokine	107.06803388527183
CD40LG	SOCS1	Directed	cytokine	107.06803388527183
CD40LG	SOD2	Directed	cytokine	107.06803388527183
CD40LG	STAT1	Directed	cytokine	107.06803388527183
CD40LG	STAT3	Directed	cytokine	107.06803388527183
CD40LG	STAT4	Directed	cytokine	107.06803388527183
CD40LG	STAT5A	Directed	cytokine	107.06803388527183
CD40LG	STK4	Directed	cytokine	107.06803388527183
CD40LG	TANK	Directed	cytokine	107.06803388527183
CD40LG	TAP1	Directed	cytokine	107.06803388527183
CD40LG	TAP2	Directed	cytokine	107.06803388527183
CD40LG	TFRC	Directed	cytokine	107.06803388527183
CD40LG	TGM2	Directed	cytokine	107.06803388527183
CD40LG	TICAM1	Directed	cytokine	107.06803388527183
CD40LG	TNF	Directed	cytokine	107.06803388527183
CD40LG	TNFAIP2	Directed	cytokine	107.06803388527183
CD40LG	TNFAIP3	Directed	cytokine	107.06803388527183
CD40LG	TNFAIP6	Directed	cytokine	107.06803388527183
CD40LG	TNFRSF11B	Directed	cytokine	107.06803388527183
CD40LG	TNFRSF13B	Directed	cytokine	107.06803388527183
CD40LG	TNFSF10	Directed	cytokine	107.06803388527183
CD40LG	TNFSF11	Directed	cytokine	107.06803388527183
CD40LG	TNFSF13B	Directed	cytokine	107.06803388527183
CD40LG	TNFSF8	Directed	cytokine	107.06803388527183
CD40LG	TNIP1	Directed	cytokine	107.06803388527183
CD40LG	TRADD	Directed	cytokine	107.06803388527183
CD40LG	TRAF1	Directed	cytokine	107.06803388527183
CD40LG	TRAF2	Directed	cytokine	107.06803388527183
CD40LG	TRAF3	Directed	cytokine	107.06803388527183
CD40LG	TUBB	Directed	cytokine	107.06803388527183
CD40LG	TYMP	Directed	cytokine	107.06803388527183
CD40LG	UBD	Directed	cytokine	107.06803388527183
CD40LG	VCAM1	Directed	cytokine	107.06803388527183
CD40LG	VEGFA	Directed	cytokine	107.06803388527183
CD40LG	ZAP70	Directed	cytokine	107.06803388527183
CSF1	ADGRE1	Directed	cytokine	92.85078088734463
CSF1	ADGRE5	Directed	cytokine	92.85078088734463
CSF1	ALOX5	Directed	cytokine	92.85078088734463
CSF1	APOL6	Directed	cytokine	92.85078088734463
CSF1	BAX	Directed	cytokine	92.85078088734463
CSF1	BCL2L11	Directed	cytokine	92.85078088734463
CSF1	BHLHE40	Directed	cytokine	92.85078088734463
CSF1	BST2	Directed	cytokine	92.85078088734463
CSF1	C5AR1	Directed	cytokine	92.85078088734463
CSF1	CCL2	Directed	cytokine	92.85078088734463
CSF1	CCL3	Directed	cytokine	92.85078088734463
CSF1	CCL5	Directed	cytokine	92.85078088734463
CSF1	CCND2	Directed	cytokine	92.85078088734463
CSF1	CCND3	Directed	cytokine	92.85078088734463
CSF1	CCR1	Directed	cytokine	92.85078088734463
CSF1	CCR2	Directed	cytokine	92.85078088734463
CSF1	CD163	Directed	cytokine	92.85078088734463
CSF1	CD209	Directed	cytokine	92.85078088734463
CSF1	CD274	Directed	cytokine	92.85078088734463
CSF1	CD68	Directed	cytokine	92.85078088734463
CSF1	CD74	Directed	cytokine	92.85078088734463
CSF1	CD80	Directed	cytokine	92.85078088734463
CSF1	CD83	Directed	cytokine	92.85078088734463
CSF1	CD86	Directed	cytokine	92.85078088734463
CSF1	CDKN1A	Directed	cytokine	92.85078088734463
CSF1	CFP	Directed	cytokine	92.85078088734463
CSF1	CIMAP1B	Directed	cytokine	92.85078088734463
CSF1	CLEC7A	Directed	cytokine	92.85078088734463
CSF1	CMPK2	Directed	cytokine	92.85078088734463
CSF1	CMTR1	Directed	cytokine	92.85078088734463
CSF1	CSF1	Directed	cytokine	92.85078088734463
CSF1	CSF1R	Directed	cytokine	92.85078088734463
CSF1	CTSH	Directed	cytokine	92.85078088734463
CSF1	CXCL10	Directed	cytokine	92.85078088734463
CSF1	CXCL11	Directed	cytokine	92.85078088734463
CSF1	CXCL9	Directed	cytokine	92.85078088734463
CSF1	CYBB	Directed	cytokine	92.85078088734463
CSF1	DDX60	Directed	cytokine	92.85078088734463
CSF1	DDX60L	Directed	cytokine	92.85078088734463
CSF1	DHX58	Directed	cytokine	92.85078088734463
CSF1	DOK2	Directed	cytokine	92.85078088734463
CSF1	DTX3L	Directed	cytokine	92.85078088734463
CSF1	DUSP5	Directed	cytokine	92.85078088734463
CSF1	EIF2AK2	Directed	cytokine	92.85078088734463
CSF1	ENO1	Directed	cytokine	92.85078088734463
CSF1	FAS	Directed	cytokine	92.85078088734463
CSF1	FASLG	Directed	cytokine	92.85078088734463
CSF1	FCER1G	Directed	cytokine	92.85078088734463
CSF1	FCGR2A	Directed	cytokine	92.85078088734463
CSF1	FCGR3A	Directed	cytokine	92.85078088734463
CSF1	FERMT3	Directed	cytokine	92.85078088734463
CSF1	GAB3	Directed	cytokine	92.85078088734463
CSF1	GBP1	Directed	cytokine	92.85078088734463
CSF1	GLS	Directed	cytokine	92.85078088734463
CSF1	GPI	Directed	cytokine	92.85078088734463
CSF1	GPR68	Directed	cytokine	92.85078088734463
CSF1	GRAP2	Directed	cytokine	92.85078088734463
CSF1	HELZ2	Directed	cytokine	92.85078088734463
CSF1	HERC5	Directed	cytokine	92.85078088734463
CSF1	HIF1A	Directed	cytokine	92.85078088734463
CSF1	HK2	Directed	cytokine	92.85078088734463
CSF1	HLA-A	Directed	cytokine	92.85078088734463
CSF1	HSP90B1	Directed	cytokine	92.85078088734463
CSF1	HSPA5	Directed	cytokine	92.85078088734463
CSF1	IDO1	Directed	cytokine	92.85078088734463
CSF1	IDO2	Directed	cytokine	92.85078088734463
CSF1	IFI16	Directed	cytokine	92.85078088734463
CSF1	IFI35	Directed	cytokine	92.85078088734463
CSF1	IFI44	Directed	cytokine	92.85078088734463
CSF1	IFI44L	Directed	cytokine	92.85078088734463
CSF1	IFI6	Directed	cytokine	92.85078088734463
CSF1	IFIH1	Directed	cytokine	92.85078088734463
CSF1	IFIT1	Directed	cytokine	92.85078088734463
CSF1	IFIT2	Directed	cytokine	92.85078088734463
CSF1	IFIT3	Directed	cytokine	92.85078088734463
CSF1	IFIT5	Directed	cytokine	92.85078088734463
CSF1	IFITM1	Directed	cytokine	92.85078088734463
CSF1	IFNB1	Directed	cytokine	92.85078088734463
CSF1	IFNG	Directed	cytokine	92.85078088734463
CSF1	IKBKE	Directed	cytokine	92.85078088734463
CSF1	IL10	Directed	cytokine	92.85078088734463
CSF1	IL10RA	Directed	cytokine	92.85078088734463
CSF1	IL12A	Directed	cytokine	92.85078088734463
CSF1	IL12B	Directed	cytokine	92.85078088734463
CSF1	IL18BP	Directed	cytokine	92.85078088734463
CSF1	IL1B	Directed	cytokine	92.85078088734463
CSF1	IL1RL1	Directed	cytokine	92.85078088734463
CSF1	IL23A	Directed	cytokine	92.85078088734463
CSF1	IL27	Directed	cytokine	92.85078088734463
CSF1	IL2RB	Directed	cytokine	92.85078088734463
CSF1	IL3	Directed	cytokine	92.85078088734463
CSF1	IL6	Directed	cytokine	92.85078088734463
CSF1	IL7R	Directed	cytokine	92.85078088734463
CSF1	IRF1	Directed	cytokine	92.85078088734463
CSF1	IRF4	Directed	cytokine	92.85078088734463
CSF1	IRF5	Directed	cytokine	92.85078088734463
CSF1	IRF7	Directed	cytokine	92.85078088734463
CSF1	IRF8	Directed	cytokine	92.85078088734463
CSF1	IRF9	Directed	cytokine	92.85078088734463
CSF1	ISG15	Directed	cytokine	92.85078088734463
CSF1	ITGA4	Directed	cytokine	92.85078088734463
CSF1	ITGA5	Directed	cytokine	92.85078088734463
CSF1	ITGAM	Directed	cytokine	92.85078088734463
CSF1	ITGAX	Directed	cytokine	92.85078088734463
CSF1	ITGB3	Directed	cytokine	92.85078088734463
CSF1	JUNB	Directed	cytokine	92.85078088734463
CSF1	LAG3	Directed	cytokine	92.85078088734463
CSF1	LAP3	Directed	cytokine	92.85078088734463
CSF1	LDHA	Directed	cytokine	92.85078088734463
CSF1	LGALS3BP	Directed	cytokine	92.85078088734463
CSF1	LGALS9	Directed	cytokine	92.85078088734463
CSF1	LY6E	Directed	cytokine	92.85078088734463
CSF1	MMP12	Directed	cytokine	92.85078088734463
CSF1	MMP9	Directed	cytokine	92.85078088734463
CSF1	MPO	Directed	cytokine	92.85078088734463
CSF1	MRC1	Directed	cytokine	92.85078088734463
CSF1	MSR1	Directed	cytokine	92.85078088734463
CSF1	MX1	Directed	cytokine	92.85078088734463
CSF1	MX2	Directed	cytokine	92.85078088734463
CSF1	MYD88	Directed	cytokine	92.85078088734463
CSF1	NBN	Directed	cytokine	92.85078088734463
CSF1	NCF2	Directed	cytokine	92.85078088734463
CSF1	NFKB2	Directed	cytokine	92.85078088734463
CSF1	NOS2	Directed	cytokine	92.85078088734463
CSF1	OAS1	Directed	cytokine	92.85078088734463
CSF1	OAS2	Directed	cytokine	92.85078088734463
CSF1	OAS3	Directed	cytokine	92.85078088734463
CSF1	OASL	Directed	cytokine	92.85078088734463
CSF1	OGFR	Directed	cytokine	92.85078088734463
CSF1	OSCAR	Directed	cytokine	92.85078088734463
CSF1	P2RY12	Directed	cytokine	92.85078088734463
CSF1	PARP10	Directed	cytokine	92.85078088734463
CSF1	PARP14	Directed	cytokine	92.85078088734463
CSF1	PARP9	Directed	cytokine	92.85078088734463
CSF1	PHF11	Directed	cytokine	92.85078088734463
CSF1	PKM	Directed	cytokine	92.85078088734463
CSF1	PLAU	Directed	cytokine	92.85078088734463
CSF1	PLSCR1	Directed	cytokine	92.85078088734463
CSF1	PSMB9	Directed	cytokine	92.85078088734463
CSF1	PTPRC	Directed	cytokine	92.85078088734463
CSF1	PTPRJ	Directed	cytokine	92.85078088734463
CSF1	RIGI	Directed	cytokine	92.85078088734463
CSF1	RSAD2	Directed	cytokine	92.85078088734463
CSF1	RUNX1	Directed	cytokine	92.85078088734463
CSF1	SAMD9	Directed	cytokine	92.85078088734463
CSF1	SAMD9L	Directed	cytokine	92.85078088734463
CSF1	SAMHD1	Directed	cytokine	92.85078088734463
CSF1	SERPINE2	Directed	cytokine	92.85078088734463
