"regulator","ID","type","FDR","count","avg_corr","rc_mean","rc_sd","zscore","pvalue"
"IFNA7",87,"cytokine",1.97e-10,12,0.714607464856195,0.355232086993106,0.0651222110631093,5.51847629244071,1.70975795842912e-08
"IFNA8",92,"cytokine",8.4e-10,12,0.714607464856195,0.355232086993106,0.0651222110631093,5.51847629244071,1.70975795842912e-08
"IFNB1",25,"cytokine",4.46e-52,133,0.508386757647247,0.359328107574226,0.0198008056841338,7.52790833114737,2.57797834534947e-14
"IFNE",44,"cytokine",3.26e-22,31,0.609608775173509,0.354023804784847,0.0404786507310223,6.31406842305603,1.35896837653311e-10
"IFNG",1,"cytokine",7.96e-220,596,0.435047705878827,0.359621328171823,0.00685041594875397,11.0104814468562,1.70090484852608e-28
"IFNK",62,"cytokine",3.95e-14,18,0.672645866255606,0.360242370641057,0.0515487745933677,6.06034766255614,6.79138200469157e-10
"IFNL1",18,"cytokine",2.54e-64,76,0.611083640257369,0.36136674595735,0.0212627689918048,11.7443261691959,3.77610273529063e-32
"IFNL2",106,"other",9.74e-07,10,0.54736160890781,0.35348174701915,0.0751552919879389,2.57972335360994,0.0049439746271317
"IFNL3",99,"other",6.06e-08,11,0.455218688603539,0.357019464908338,0.0639687546423127,1.53511232545156,0.0623781196119704
"IFNL4",67,"cytokine",3.1e-13,13,0.767965724642394,0.360729652108559,0.0661367471318267,6.15748566711505,3.69544649541796e-10
"IFNW1",90,"cytokine",4.4e-10,14,0.657119714035523,0.352852624197483,0.0579397574364407,5.25143879264282,7.54578418047308e-08
"IL10",10,"cytokine",4.82e-99,219,0.460938080155611,0.359035479804778,0.0128842455125042,7.90908557679502,1.29643168469378e-15
"IL11",58,"cytokine",1.85e-15,38,0.374460247449282,0.361071647756052,0.0341012334025261,0.392613356097515,0.347302536693221
"IL12A",38,"cytokine",4.66e-24,30,0.481548368200675,0.359407330671671,0.0363117987223937,3.3636735668971,0.000384562282029247
"IL12B",39,"cytokine",5.56e-24,38,0.467809097326609,0.361071647756052,0.0341012334025261,3.13001727270811,0.00087398012440832
"IL13",21,"cytokine",7.05e-58,173,0.431579099903174,0.3593250715717,0.0167816763298204,4.30553103941598,8.32928147216984e-06
"IL15",8,"cytokine",4e-104,231,0.468421551327672,0.358560335739582,0.0130013792242808,8.44996624534407,1.45693527520917e-17
"IL16",138,"cytokine",0.00503,6,0.663665605795141,0.377902301681026,0.092483599074943,3.08988087587887,0.0010011839401782
"IL17A",16,"cytokine",5.94e-73,186,0.406262722437344,0.357193306554486,0.0177294551485732,2.76767760044826,0.00282286374818024
"IL17B",137,"cytokine",0.00498,4,0.647744261184456,0.343697834809809,0.121609177422783,2.50019310070332,0.00620628141550393
"IL17C",82,"cytokine",1.15e-10,17,0.478642669671097,0.368766360759955,0.0533166035371191,2.06082723995436,0.0196597623684111
"IL17F",30,"cytokine",5.61e-40,68,0.456806293120382,0.358633811161296,0.0248073033289947,3.95740240916643,3.78846135523778e-05
"IL18",20,"cytokine",1.47e-58,110,0.466185623707465,0.358058749476484,0.0192050487317828,5.63012756390668,9.00381934264857e-09
"IL19",107,"cytokine",1.35e-06,11,0.492977706298069,0.357019464908338,0.0639687546423127,2.12538515326669,0.0167772440491226
"IL1A",17,"cytokine",8.98e-70,150,0.42591897368813,0.358326209965243,0.014628269866135,4.62069433647558,1.91228951108694e-06
"IL1B",5,"cytokine",1.91e-122,401,0.437703976471963,0.35871791332184,0.00939464807194774,8.40755955361159,2.09314907092295e-17
"IL1F10",103,"cytokine",2.8e-07,13,0.343747328761632,0.360729652108559,0.0661367471318267,-0.256775908755795,0.601324115656677
"IL1RN",27,"cytokine",1.7e-47,80,0.521684891278938,0.358991001678825,0.0232516831821051,6.99708009634869,1.3067594595372e-12
"IL2",4,"cytokine",9.11e-126,314,0.460166788965686,0.360399756030751,0.00960332470942933,10.3888013738592,1.39417559867829e-25
"IL20",124,"cytokine",0.000213,12,0.325785583398453,0.355232086993106,0.0651222110631093,-0.452172970081086,0.674427810498116
"IL21",19,"cytokine",7.39e-64,108,0.489160058984777,0.360093707209203,0.0198486218779759,6.50253466306322,3.94889073630907e-11
"IL22",43,"cytokine",7.3e-23,51,0.401929592360001,0.365923070577932,0.0296108123511015,1.21599236640765,0.111993914973557
"IL23A",61,"cytokine",9.52e-15,25,0.442451816759017,0.359323444446249,0.0438350280491658,1.89639144794275,0.0289541509458783
"IL24",55,"cytokine",5.74e-17,29,0.484622777062291,0.360917723801243,0.0351991385135022,3.51443411643712,0.000220345986849927
"IL25",64,"cytokine",1.11e-13,36,0.41073664875246,0.358451765794946,0.0296096721625264,1.76580418285364,0.0387143532630009
"IL26",115,"cytokine",7.49e-06,7,0.530653071431123,0.350371709618014,0.0858538568112617,2.09986328522705,0.0178704346334172
"IL27",6,"cytokine",1.73e-111,164,0.463269001244627,0.359236337858285,0.0149020642262503,6.98109079432671,1.46448467986466e-12
"IL3",26,"cytokine",1.14e-49,143,0.447249290557049,0.361607019699649,0.0161028595554267,5.31845108395905,5.23271736551321e-08
"IL31",127,"cytokine",0.000912,9,0.638973859111036,0.356339055362872,0.0696742325524647,4.05651836258605,2.49048240805069e-05
"IL32",46,"cytokine",5.1e-20,36,0.46001200760561,0.358451765794946,0.0296096721625264,3.42996846615538,0.000301825699384236
"IL33",12,"cytokine",5.79e-85,194,0.484649675163326,0.357688475313234,0.0148147771414663,8.56990278272427,5.1786219847716e-18
"IL36A",80,"cytokine",6.05e-11,16,0.52736023713797,0.364716080491988,0.0514683126536765,3.16008332622819,0.000788620120332458
"IL36B",76,"cytokine",3.15e-12,17,0.530674778615199,0.368766360759955,0.0533166035371191,3.03673540912115,0.00119577641124486
"IL36G",37,"cytokine",1.89e-24,42,0.46395363715645,0.363577459324965,0.0300630228905747,3.33885844403739,0.000420617102453208
"IL36RN",108,"cytokine",2.04e-06,7,0.459848630174915,0.350371709618014,0.0858538568112617,1.27515436840038,0.101127304452009
"IL37",101,"cytokine",1.52e-07,13,0.562884472653425,0.360729652108559,0.0661367471318267,3.05661873786931,0.00111924400938073
"IL4",2,"cytokine",1.26e-185,492,0.445783691222191,0.359645020551146,0.00834942318506693,10.3167211389052,2.96053777628769e-25
"IL5",22,"cytokine",2.59e-54,127,0.450304691430326,0.358339213800998,0.0170667571938738,5.38857362207853,3.5509534938122e-08
"IL6",13,"cytokine",4.19e-83,279,0.406656471703918,0.36005758099636,0.0121027873369202,3.8502610522954,5.89959973940991e-05
"IL7",24,"cytokine",2.02e-52,88,0.47154386439675,0.358976062474428,0.0197070806685739,5.71204856850407,5.58121091174928e-09
"IL9",77,"cytokine",1.35e-11,27,0.481516466731651,0.352573742170901,0.0425676901869858,3.02912194658313,0.00122632829763638
"INHA",151,"growth factor",0.0276,17,0.423985616714587,0.368766360759955,0.0533166035371191,1.03568592692121,0.150174344965121
"INHBA",136,"growth factor",0.00456,34,0.458128335811578,0.361105645239357,0.0355508397214853,2.72912514394378,0.00317513000925697
"INHBB",146,"growth factor",0.019,8,0.414120579464594,0.358295585469424,0.0781911237419391,0.713955642579248,0.23762730430482
"KITLG",41,"growth factor",6.68e-24,83,0.440837471369991,0.357090379718729,0.0228811890051292,3.66008478110509,0.000126065906071344
"LIF",71,"cytokine",5.75e-13,60,0.385397472828528,0.358247377093806,0.0288034603191469,0.942598404285264,0.172943178175147
"LTA",50,"cytokine",1.43e-18,33,0.465149160153491,0.364718076081927,0.0335380064667975,2.99454543223942,0.0013742705976026
"LTB",114,"cytokine",7.39e-06,11,0.42237701132209,0.357019464908338,0.0639687546423127,1.0217104706697,0.153458976943241
"MIF",40,"cytokine",6.05e-24,61,0.430699336759916,0.366710773906272,0.0274549800897604,2.33067234594387,0.00988532173007147
"MSTN",118,"growth factor",1.59e-05,34,0.450603297072165,0.361105645239357,0.0355508397214853,2.51745535503397,0.00591029745629143
"NAMPT",131,"cytokine",0.00194,21,0.403560310326737,0.362996726535277,0.043423507073801,0.934138823069259,0.175116143956018
"NODAL",120,"growth factor",2.22e-05,12,0.438214539172071,0.355232086993106,0.0651222110631093,1.27425728985994,0.101286123807855
"NRG1",110,"growth factor",2.46e-06,51,0.460855058086019,0.365923070577932,0.0296108123511015,3.20599064903923,0.000672991811616745
"OSM",23,"cytokine",1.45e-53,187,0.405440763061933,0.360546149707555,0.0150847388327726,2.97616112894449,0.00145940730453318
"PF4",42,"cytokine",3.29e-23,48,0.527149672930722,0.358024257915325,0.0315356147840232,5.36299723895284,4.09261289319733e-08
"PPBP",150,"cytokine",0.0266,4,0.303907722962487,0.343697834809809,0.121609177422783,-0.327196620276351,0.62824041151811
"SPP1",75,"cytokine",1.83e-12,62,0.411664948011186,0.361930853915773,0.027472010226058,1.81035511002536,0.0351203679488132
"TGFB1",14,"growth factor",2.35e-81,473,0.404982279620478,0.359985493038653,0.00758879200526786,5.92937407568818,1.5204580519091e-09
"TGFB2",70,"growth factor",5.73e-13,56,0.417288477696345,0.356930089360176,0.0260476266085078,2.31723178634841,0.010245554439515
"TGFB3",116,"growth factor",7.86e-06,30,0.445049475227236,0.359407330671671,0.0363117987223937,2.35852113001355,0.00917395760275368
"THPO",68,"cytokine",3.31e-13,38,0.537266195637325,0.361071647756052,0.0341012334025261,5.16680865473392,1.19062409757426e-07
"TIMP1",91,"cytokine",5.08e-10,22,0.532660760491852,0.362853510419834,0.0445075927024477,3.8152422937644,6.80246874830387e-05
"TNF",3,"cytokine",2.79e-181,648,0.426178326584188,0.359532429171679,0.00581755620092895,11.4559954576575,1.09713848304381e-30
"TNFRSF11B",100,"transmembrane receptor",1.39e-07,16,0.382441220349172,0.364716080491988,0.0514683126536765,0.344389371698556,0.365276740369732
"TNFSF10",28,"cytokine",8.05e-43,79,0.440582576684755,0.358927723902693,0.0231333401797048,3.52974763470166,0.000207978115394879
"TNFSF11",29,"cytokine",8.53e-41,110,0.488412769043026,0.358058749476484,0.0192050487317828,6.78748705025763,5.70517486281612e-12
"TNFSF12",78,"cytokine",1.83e-11,41,0.435443798686829,0.357364492317116,0.0312190899816297,2.50101160590066,0.00619195599960317
"TNFSF13",154,"cytokine",0.0401,8,0.490553550472616,0.358295585469424,0.0781911237419391,1.69147031880107,0.0453735059829364
"TNFSF13B",32,"cytokine",1.14e-30,68,0.490365902914076,0.358633811161296,0.0248073033289947,5.31021409323487,5.47482656587641e-08
"TNFSF14",54,"cytokine",5.52e-17,26,0.506246593128135,0.354722706162512,0.0382446446376704,3.96196352198223,3.7167949784759e-05
"TNFSF15",63,"cytokine",5.34e-14,27,0.510922586793763,0.352573742170901,0.0425676901869858,3.71993039620632,9.96388444421859e-05
"TNFSF18",126,"cytokine",0.000563,6,0.603522262906083,0.377902301681026,0.092483599074943,2.43956726902711,0.0073524323099267
"TNFSF4",94,"cytokine",1.49e-09,16,0.409969530606393,0.364716080491988,0.0514683126536765,0.879248760667753,0.189633205702263
"TNFSF9",57,"cytokine",3.78e-16,25,0.438151571803752,0.359323444446249,0.0438350280491658,1.79829079313213,0.0360654689925489
"TSLP",60,"cytokine",8.97e-15,32,0.497532290306644,0.364328288202653,0.0369021503232275,3.6096542054393,0.000153302730323914
"VEGFA",35,"growth factor",3.76e-25,95,0.456213103997624,0.36061630428267,0.0206981961247613,4.61860536728566,1.9316389627266e-06
"WNT1",141,"cytokine",0.0112,23,0.362022674632735,0.356973200449334,0.0416199244359115,0.121323482727043,0.451717410437997
"WNT2B",139,"other",0.00855,4,0.460849406520301,0.343697834809809,0.121609177422783,0.963344824734787,0.167687252743485
"WNT3A",102,"cytokine",1.99e-07,66,0.382873260571726,0.357637393876954,0.0246096604927686,1.02544554412637,0.152576503857673
"WNT5A",56,"growth factor",2.96e-16,65,0.444195224572153,0.362449516666523,0.0285453544234261,2.86371318754917,0.00209353474313705
"XCL1",134,"cytokine",0.00245,4,0.560451632150788,0.343697834809809,0.121609177422783,1.78238026055731,0.037343621132062
