Id	log2FoldChange	padj
ENSG00000111729	2.983	1.69948951974498e-77
ENSG00000111796	3.612	8.4976080943018e-100
ENSG00000111801	2.034	4.90040134003073e-108
ENSG00000111817	1.618	8.10014293918311e-42
ENSG00000111886	1.031	5.02903824475396e-32
ENSG00000111912	2.162	7.08739250314484e-65
ENSG00000111913	2.319	2.13770812767027e-109
ENSG00000112115	2.173	5.60820825685048e-06
ENSG00000112116	3.04	3.29487083796456e-08
ENSG00000112149	4.73	5.43843866215398e-117
ENSG00000112195	4.88	2.2965320178208e-110
ENSG00000112242	1.655	2.29391726951652e-61
ENSG00000112249	1.24	1.38861464430944e-27
ENSG00000112303	1.446	7.22923495344653e-22
ENSG00000112308	1.213	2.27430460109118e-37
ENSG00000112343	1.414	1.00567848219629e-69
ENSG00000112486	1.826	1.74959982562759e-57
ENSG00000112493	2.383	1.42514095398691e-18
ENSG00000112576	1.84	2.34865249422036e-85
ENSG00000112578	1.134	1.17839139984023e-58
ENSG00000112715	1.178	4.50905164509508e-14
ENSG00000112763	1.225	5.70849345136854e-69
ENSG00000112799	2.457	1.86283616558467e-55
ENSG00000112818	1.4	0.000271970183364023
ENSG00000113070	1.828	1.18646302376351e-26
ENSG00000113088	4.224	5.65000625241102e-120
ENSG00000113196	1.19	0.00254554885105096
ENSG00000113263	3.611	1.3670135550473e-121
ENSG00000113273	1.561	6.2765430978025e-61
ENSG00000113302	1.914	2.26154823917381e-17
ENSG00000113368	2.624	8.47970166740228e-102
ENSG00000113387	1.619	3.81683154390066e-50
ENSG00000113407	1.16	1.66603379692554e-53
ENSG00000113448	1.651	1.54384503176079e-35
ENSG00000113504	1.046	4.85498958796645e-18
ENSG00000113520	1.633	1.52390606075704e-07
ENSG00000113525	2.818	2.34258999537074e-13
ENSG00000113532	3.166	2.64761710724355e-89
ENSG00000113583	1.265	2.12651522282217e-48
ENSG00000113594	1.214	3.18059167510757e-13
ENSG00000113615	1.237	6.00259749908214e-21
ENSG00000113732	1.236	2.93224559707462e-41
ENSG00000113739	1.818	6.65858575107992e-37
ENSG00000113749	2.43	2.2364679820718e-97
ENSG00000114013	3.874	3.40915190892197e-113
ENSG00000114127	1.832	8.83837601838555e-34
ENSG00000114204	1.288	3.19236590646995e-08
ENSG00000114268	1.474	6.80224399274429e-15
ENSG00000114353	1.547	2.72497985672837e-63
ENSG00000114395	1.231	7.48793101065387e-38
